ASSERTION	AAEDAAECAwAAAAAAAIizQA==
RUN	mysimulations.Gatling30	gatling30	1670494244801	Gatling Execution	3.6.1
GROUP	SelectFlight_tx	1670494292949	1670494293618	665	OK
REQUEST	Homepage_tx	Homepage_request	1670494293276	1670494293845	OK	 
REQUEST	FindFlight_tx	bootstrap.min.js	1670494293596	1670494293855	OK	 
REQUEST	FindFlight_tx	bootstrap-table.js	1670494293597	1670494293863	OK	 
REQUEST	FindFlight_tx	bootstrap-table.css	1670494293598	1670494293867	OK	 
REQUEST	FindFlight_tx	bootstrap.min.css	1670494293597	1670494293889	OK	 
GROUP	FindFlight_tx	1670494293180	1670494293891	700	OK
REQUEST	Homepage_tx	jquery.min.js	1670494293851	1670494293956	OK	 
REQUEST	Homepage_tx	bootstrap.min.js	1670494293853	1670494294168	OK	 
REQUEST	Homepage_tx	bootstrap-table.js	1670494293854	1670494294544	OK	 
REQUEST	Homepage_tx	bootstrap-table.css	1670494293857	1670494294618	OK	 
REQUEST	Homepage_tx	bootstrap.min.css	1670494293856	1670494294709	OK	 
GROUP	Homepage_tx	1670494293276	1670494294950	1668	OK
REQUEST	SelectFlight_tx	SelectFlight_request	1670494298901	1670494299269	OK	 
REQUEST	SelectFlight_tx	bootstrap-table.js	1670494299278	1670494299534	OK	 
REQUEST	SelectFlight_tx	bootstrap-table.css	1670494299280	1670494299548	OK	 
REQUEST	SelectFlight_tx	bootstrap.min.js	1670494299278	1670494299552	OK	 
REQUEST	SelectFlight_tx	bootstrap.min.css	1670494299279	1670494299585	OK	 
GROUP	SelectFlight_tx	1670494298900	1670494299586	677	OK
USER	BlazeHomePage	START	1670494300300
REQUEST	FindFlight_tx	FindFlightRequest	1670494299960	1670494300413	OK	 
REQUEST	FindFlight_tx	bootstrap.min.css	1670494300426	1670494300686	OK	 
REQUEST	FindFlight_tx	bootstrap.min.js	1670494300423	1670494300695	OK	 
REQUEST	FindFlight_tx	bootstrap-table.css	1670494300427	1670494300696	OK	 
REQUEST	FindFlight_tx	bootstrap-table.js	1670494300425	1670494300698	OK	 
GROUP	FindFlight_tx	1670494299959	1670494300699	729	OK
REQUEST	Homepage_tx	Homepage_request	1670494300301	1670494300756	OK	 
REQUEST	Homepage_tx	jquery.min.js	1670494300764	1670494300843	OK	 
REQUEST	Homepage_tx	bootstrap.min.js	1670494300766	1670494301090	OK	 
REQUEST	Homepage_tx	bootstrap-table.js	1670494300767	1670494301185	OK	 
REQUEST	Homepage_tx	bootstrap-table.css	1670494300771	1670494301268	OK	 
REQUEST	Homepage_tx	bootstrap.min.css	1670494300769	1670494301759	OK	 
GROUP	Homepage_tx	1670494300300	1670494301845	1537	OK
USER	BlazeHomePage	START	1670494306277
REQUEST	SelectFlight_tx	SelectFlight_request	1670494305715	1670494306358	OK	 
REQUEST	SelectFlight_tx	bootstrap-table.js	1670494306365	1670494306630	OK	 
REQUEST	SelectFlight_tx	bootstrap.min.css	1670494306366	1670494306643	OK	 
REQUEST	SelectFlight_tx	bootstrap-table.css	1670494306367	1670494306646	OK	 
REQUEST	SelectFlight_tx	bootstrap.min.js	1670494306364	1670494306670	OK	 
GROUP	SelectFlight_tx	1670494305713	1670494306671	951	OK
REQUEST	Homepage_tx	Homepage_request	1670494306278	1670494306796	OK	 
REQUEST	Homepage_tx	bootstrap.min.js	1670494306808	1670494307110	OK	 
REQUEST	Homepage_tx	bootstrap-table.js	1670494306809	1670494307196	OK	 
REQUEST	FindFlight_tx	FindFlightRequest	1670494306851	1670494307225	OK	 
REQUEST	Homepage_tx	jquery.min.js	1670494306806	1670494307262	OK	 
REQUEST	Homepage_tx	bootstrap-table.css	1670494306813	1670494307363	OK	 
REQUEST	FindFlight_tx	bootstrap.min.js	1670494307274	1670494307526	OK	 
REQUEST	FindFlight_tx	bootstrap-table.js	1670494307274	1670494307527	OK	 
REQUEST	FindFlight_tx	bootstrap-table.css	1670494307275	1670494307551	OK	 
REQUEST	FindFlight_tx	bootstrap.min.css	1670494307275	1670494307552	OK	 
GROUP	FindFlight_tx	1670494306850	1670494307553	654	OK
REQUEST	Homepage_tx	bootstrap.min.css	1670494306810	1670494307954	OK	 
GROUP	Homepage_tx	1670494306277	1670494308035	1747	OK
REQUEST	SelectFlight_tx	SelectFlight_request	1670494312561	1670494312918	OK	 
REQUEST	SelectFlight_tx	bootstrap.min.js	1670494312925	1670494313176	OK	 
REQUEST	SelectFlight_tx	bootstrap-table.css	1670494312929	1670494313177	OK	 
REQUEST	SelectFlight_tx	bootstrap-table.js	1670494312926	1670494313198	OK	 
REQUEST	SelectFlight_tx	bootstrap.min.css	1670494312927	1670494313199	OK	 
GROUP	SelectFlight_tx	1670494312561	1670494313200	633	OK
REQUEST	FindFlight_tx	FindFlightRequest	1670494313044	1670494313469	OK	 
